id;name
0;Hoon Hong
1;Dongming Wang
2;Charles J. Brooks
3;Ahmed E. Hassan
4;Parminder Flora
5;Darrel Creacy
6;Carlito Vicencio
7;Neil Daswani
8;Anita Kesavan
9;Shinto Eguchi
10;John Copas
11;Lee Humphreys
12;Paul Messaris
13;Oliver Kohlbacher
14;Knut Reinert
15;Clemens Gröpl
16;Eva Lange
17;Nico Pfeifer
18;Ole Schulz-Trieglaff
19;Marc Sturm
20;John Blaint
21;Vincent Wade
22;Helen Ashman
23;Barry Smyth
24;Carlos Alberto Maziero
25;João Gabriel Silva
26;Aline Maria Santos Andrade
27;Flávio Morais de Assis Silva
28;Howard A. Anton
29;Michael Schrenk
30;Michael Shrenk
31;E. Skubalska-Rafajtowicz
32;A. Krzyzak
33;Alessandro Aurigi
34;Eric Grebler
35;Allan Hunkin
36;Michael Rosenblum
37;Constantine Caramanis
38;Michel X. Goemans
39;Vahid Tarokh
40;Axel Bucker
41;John Odam
42;David A. Marca
43;Danny Raz
44;Arto Tapani Juhola
45;Joan Serrat-Fernandez
46;Alex Galis
47;Alice Redmond-neal
48;Marjorie M. K. Hlava
49;Jianer Chen
50;Fenghui Zhang
51;Michael Raheem
52;Dima Sonkin
53;Thierry D'Hers
54;Kami LeMonds
55;Donald Christiansen
56;Arthur Greef
57;Michael Fruergaard Pontoppidan
58;Lars Dragheim Olsen
59;Palle Agermark
60;Hans J. Skovgaard
61;Cay S. Horstmann
62;Steve Holzner
63;R. Kelly Rainer
64;Jason Eckert
65;David M. Lane
66;Tibor Bosse
67;Catholijn M. Jonker
68;Jan Treur
69;Stanley Habib
70;J. Knipe
71;X. Li
72;Donna Ulmer
73;Jocelyn Robert
74;John R. Mick
75;Michael Smick
76;Gene Orwell
77;Jose Pedro Llamazares
78;Nolan Hester
79;Behrouz A. Forouzan
80;Ted Lewis
81;Bruce Shriver
82;Ken Abernethy
83;Michael Cloran
84;Rudolph Langer
85;Cheng-Lin Liu
86;Hiroshi Sako
87;Ron Dulin
88;Jeong-woo Sohn
89;Daeyeol Lee
90;Amir Ahmad
91;Lipika Dey
92;Deborah Timmons
93;David Cope
94;June Jamrich Parsons
95;Dan Oja
96;Woody Leonhard
97;William J. Tracz
98;Ian David Aronson
99;Derrick Story
100;Shelley Gaskin
101;John Preston
102;Sally Preston
103;Michael T. Goodrich
104;Lionel Felix
105;Damien Stolarz
106;Brenden Munnelly
107;Paul Holden
108;Amitabha Bagchi
